,1070,2051,2052,2053
177,15.0,11.49,11.36,10.47
178,15.0,11.49,11.36,10.47
179,15.0,11.49,11.36,10.47
180,15.0,11.49,11.36,10.47
181,15.0,11.49,11.36,10.47
182,15.0,11.49,11.36,10.47
183,15.0,11.49,11.36,10.47
184,15.0,11.49,11.36,10.47
185,15.0,11.49,11.36,10.47
186,15.0,11.49,11.36,10.47
187,15.0,11.49,11.36,10.47
188,15.0,11.49,11.36,10.47
189,15.0,11.49,11.36,10.47
190,15.0,11.49,11.36,10.47
191,15.0,11.49,11.36,10.47
192,15.0,11.49,11.36,10.47
193,15.0,11.49,11.36,10.47
194,15.0,11.49,11.36,10.47
195,15.0,11.49,11.36,10.47
196,15.0,11.49,11.36,10.47
197,15.0,11.49,11.36,10.47
198,15.0,11.49,11.36,10.47
199,15.0,11.49,11.36,10.47
200,15.0,11.49,11.36,10.47
201,15.0,11.49,11.36,10.47
202,15.0,11.49,11.36,10.47
203,15.0,11.49,11.36,10.47
204,15.0,11.49,11.36,10.47
205,15.0,11.49,11.36,10.47
206,15.0,11.49,11.36,10.47
207,15.0,11.49,11.36,10.47
208,15.0,11.49,11.36,10.47
209,15.0,11.49,11.36,10.47
210,15.0,11.49,11.36,10.47
211,15.0,11.49,11.36,10.47
212,15.0,11.49,11.36,10.47
213,15.0,11.49,11.36,10.47
214,15.0,11.49,11.36,10.47
215,15.0,11.49,11.36,10.47
216,15.0,11.49,11.36,10.47
217,15.0,11.49,11.36,10.47
218,15.0,11.49,11.36,10.47
219,15.0,11.49,11.36,10.47
220,15.0,11.49,11.36,10.47
221,15.0,11.49,11.36,10.47
222,15.0,11.49,11.36,10.47
223,15.0,11.49,11.36,10.47
224,15.0,11.49,11.36,10.47
225,15.0,11.49,11.36,10.47
226,15.0,11.49,11.36,10.47
227,15.0,11.49,11.36,10.47
228,15.0,11.49,11.36,10.47
229,15.0,11.49,11.36,10.47
230,15.0,11.49,11.36,10.47
231,15.0,11.49,11.36,10.47
232,15.0,11.49,11.36,10.47
233,15.0,11.49,11.36,10.47
234,15.0,11.49,11.36,10.47
235,15.0,11.49,11.36,10.47
236,15.0,11.49,11.36,10.47
237,15.0,11.49,11.36,10.47
238,15.0,11.49,11.36,10.47
239,15.0,11.49,11.36,10.47
240,15.0,12.35,12.49,12.42
241,15.0,12.35,12.49,12.42
242,15.0,12.35,12.49,12.42
243,15.0,12.35,12.49,12.42
244,15.0,12.35,12.49,12.42
245,15.0,12.35,12.49,12.42
246,15.0,12.35,12.49,12.42
247,15.0,12.35,12.49,12.42
248,15.0,12.35,12.49,12.42
249,15.0,12.35,12.49,12.42
250,15.0,12.35,12.49,12.42
251,15.0,12.35,12.49,12.42
252,15.0,12.35,12.49,12.42
253,15.0,12.35,12.49,12.42
254,15.0,12.35,12.49,12.42
255,15.0,12.35,12.49,12.42
256,15.0,12.35,12.49,12.42
257,15.0,12.35,12.49,12.42
258,15.0,12.35,12.49,12.42
259,15.0,12.35,12.49,12.42
260,15.0,12.35,12.49,12.42
261,15.0,12.35,12.49,12.42
262,15.0,12.35,12.49,12.42
263,15.0,12.35,12.49,12.42
264,15.0,12.35,12.49,12.42
265,15.0,12.35,12.49,12.42
266,15.0,12.35,12.49,12.42
267,15.0,12.35,12.49,12.42
268,15.0,12.35,12.49,12.42
269,15.0,12.35,12.49,12.42
270,15.0,12.35,12.49,12.42
271,15.0,12.35,12.49,12.42
272,15.0,12.35,12.49,12.42
273,15.0,12.35,12.49,12.42
274,15.0,12.35,12.49,12.42
275,15.0,12.35,12.49,12.42
276,15.0,12.35,12.49,12.42
277,15.0,12.35,12.49,12.42
278,15.0,12.35,12.49,12.42
279,15.0,12.35,12.49,12.42
280,15.0,12.35,12.49,12.42
281,15.0,12.35,12.49,12.42
282,15.0,12.35,12.49,12.42
283,15.0,12.35,12.49,12.42
284,15.0,12.35,12.49,12.42
285,15.0,12.35,12.49,12.42
286,15.0,12.35,12.49,12.42
287,15.0,12.35,12.49,12.42
288,15.0,12.35,12.49,12.42
289,15.0,12.35,12.49,12.42
290,15.0,12.35,12.49,12.42
291,15.0,12.35,12.49,12.42
292,15.0,12.35,12.49,12.42
293,15.0,12.35,12.49,12.42
294,15.0,12.35,12.49,12.42
295,15.0,12.35,12.49,12.42
296,15.0,12.35,12.49,12.42
297,15.0,12.35,12.49,12.42
298,15.0,12.35,12.49,12.42
299,15.0,12.35,12.49,12.42
300,15.0,12.35,12.49,12.42
301,15.0,12.35,12.49,12.42
302,15.0,12.35,12.49,12.42
303,15.0,12.35,12.49,12.42
304,15.0,12.35,12.49,12.42
305,15.0,12.35,12.49,12.42
306,15.0,12.35,12.49,12.42
307,15.0,12.35,12.49,12.42
308,15.0,12.35,12.49,12.42
309,15.0,12.35,12.49,12.42
310,15.0,12.35,12.49,12.42
311,15.0,12.35,12.49,12.42
312,15.0,12.35,12.49,12.42
313,15.0,12.35,12.49,12.42
314,15.0,12.35,12.49,12.42
315,15.0,12.35,12.49,12.42
316,15.0,12.35,12.49,12.42
317,15.0,12.35,12.49,12.42
318,15.0,12.35,12.49,12.42
319,15.0,12.35,12.49,12.42
320,15.0,12.35,12.49,12.42
321,15.0,12.35,12.49,12.42
